LogType,EventID,Source,Time,Message
System,20,Microsoft-Windows-WindowsUpdateClient,Tue Nov 11 09:50:43 2025,0x80073d02 9NHT9RB2F4HD-Microsoft.Copilot {983f2428-bc0d-42e3-b709-6b21d9b87f20} 1 {855e8a7c-ecb4-4ca3-b045-1dfa50104289}
System,21,Microsoft-Windows-HAL,Tue Nov 11 09:27:52 2025,3221225473
System,10317,Microsoft-Windows-NDIS,Tue Nov 11 09:26:56 2025,{12be0f84-80cb-4b38-84bc-e84e4f9fb207} 4 19985273135824896 Microsoft Wi-Fi Direct Virtual Adapter #2 74
System,20,Microsoft-Windows-WindowsUpdateClient,Mon Nov 10 09:51:57 2025,0x80073d02 9NTXGKQ8P7N0-MicrosoftWindows.CrossDevice {c635d67d-3c58-4bee-a5c6-3b1a132a411f} 1 {855e8a7c-ecb4-4ca3-b045-1dfa50104289}
System,21,Microsoft-Windows-HAL,Mon Nov 10 09:19:47 2025,3221225473
System,21,Microsoft-Windows-HAL,Mon Nov 10 09:19:47 2025,3221225473
System,21,Microsoft-Windows-HAL,Mon Nov 10 09:19:47 2025,3221225473
System,10317,Microsoft-Windows-NDIS,Mon Nov 10 09:18:53 2025,{12be0f84-80cb-4b38-84bc-e84e4f9fb207} 4 19985273135824896 Microsoft Wi-Fi Direct Virtual Adapter #2 74
System,21,Microsoft-Windows-HAL,Wed Nov  5 12:31:44 2025,3221225473
System,10317,Microsoft-Windows-NDIS,Wed Nov  5 12:30:48 2025,{12be0f84-80cb-4b38-84bc-e84e4f9fb207} 4 19985273135824896 Microsoft Wi-Fi Direct Virtual Adapter #2 74
System,20,Microsoft-Windows-WindowsUpdateClient,Tue Nov  4 09:44:58 2025,0x80073d02 9NTXGKQ8P7N0-MicrosoftWindows.CrossDevice {5f6543c9-2d60-4bfc-805a-0ed973c9439a} 1 {855e8a7c-ecb4-4ca3-b045-1dfa50104289}
